|Dx|_inf =  0.0000007 	 |Grad|_inf =  1.5342425 


 Convergência em 3 iteracoes e tempo: 5.1620
Tensoes Nodais: Fase-Terra
Vbase:7967.434	ABC	72	Va: 0.98425 | -1.213 	Vb: 0.98324 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	73	Va: 0.98424 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	74	Va: 0.98424 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	75	Va: 0.98424 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	76	Va: 0.98424 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	77	Va: 0.98424 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	78	Va: 0.98424 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	79	Va: 0.98424 | -1.213 	Vb: 0.98322 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	80	Va: 0.98424 | -1.213 	Vb: 0.98322 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	82	Va: 0.98424 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	83	Va: 0.98424 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	84	Va: 0.98424 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	85	Va: 0.98423 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98834 | 118.894
Vbase:7967.434	ABC	86	Va: 0.98423 | -1.213 	Vb: 0.98323 | -121.071	Vc: 0.98834 | 118.894
Vbase:7967.434	ABC	88	Va: 0.98425 | -1.213 	Vb: 0.98324 | -121.071	Vc: 0.98835 | 118.894
Vbase:7967.434	ABC	89	Va: 0.98419 | -1.214 	Vb: 0.98316 | -121.071	Vc: 0.98833 | 118.893
Vbase:7967.434	ABC	90	Va: 0.98409 | -1.216 	Vb: 0.98305 | -121.071	Vc: 0.98828 | 118.891
Vbase:7967.434	ABC	91	Va: 0.98404 | -1.217 	Vb: 0.98299 | -121.071	Vc: 0.98826 | 118.890
Vbase:7967.434	ABC	92	Va: 0.98397 | -1.218 	Vb: 0.98291 | -121.071	Vc: 0.98823 | 118.889
Vbase:7967.434	ABC	93	Va: 0.98391 | -1.219 	Vb: 0.98284 | -121.070	Vc: 0.98820 | 118.888
Vbase:7967.434	ABC	95	Va: 0.98386 | -1.221 	Vb: 0.98278 | -121.070	Vc: 0.98818 | 118.887
Vbase:7967.434	ABC	96	Va: 0.98386 | -1.221 	Vb: 0.98278 | -121.070	Vc: 0.98818 | 118.887
Vbase:7967.434	ABC	98	Va: 0.98386 | -1.221 	Vb: 0.98278 | -121.070	Vc: 0.98818 | 118.887
Vbase:7967.434	ABC	99	Va: 0.98386 | -1.221 	Vb: 0.98277 | -121.070	Vc: 0.98817 | 118.887
Vbase:7967.434	ABC	100	Va: 0.98385 | -1.221 	Vb: 0.98277 | -121.070	Vc: 0.98817 | 118.887
Vbase:7967.434	ABC	101	Va: 0.98385 | -1.221 	Vb: 0.98277 | -121.070	Vc: 0.98817 | 118.887
Vbase:7967.434	ABC	103	Va: 0.98385 | -1.221 	Vb: 0.98277 | -121.071	Vc: 0.98817 | 118.887
