Leitura de dados da rede elétrica...
Main directory: 
 . 
Data sub-folder: 
 /REAL1058 
DBAR ok
leituraDados ok
geraGrafo ok
buscaProfundidadeAlimentadores ok
calculaPU ok
atualizaTaps ok 


busca Completa
Estimador de Estado Branch Current em Coordenadas retangulares com medidas de tensão...
numero barras: 1055
nmed: 6352
nvar: 6316
nmed_complex = 3173
nmed_tensao = 6
3


Iteracao:  0 	|Dx|_inf =  2.80513774416695538 	  


Iteracao:  1 	|Dx|_inf =  0.02434160329611825 	  


Iteracao:  2 	|Dx|_inf =  0.00004705838626588 	  


Iteracao:  3 	|Dx|_inf =  0.00000000701565609 	  

Estimação BC: 1.660378
Tensoes Nodais (p.u.):
159	Va: 0.99431 | -2.164 	Vb: 1.05025 | -118.922	Vc: 1.05407 | 117.595
162	Va: 0.99411 | -2.174 	Vb: 1.05021 | -118.921	Vc: 1.05411 | 117.590
164	Va: 0.99427 | -2.161 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.595
165	Va: 0.99427 | -2.161 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.595
167	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
168	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
169	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
170	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
171	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
172	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
173	Va: 0.99425 | -2.160 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
174	Va: 0.99426 | -2.160 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
176	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
178	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
179	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
181	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
182	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
183	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
184	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.594
185	Va: 0.99427 | -2.160 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.594
186	Va: 0.99428 | -2.160 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.594
187	Va: 0.99428 | -2.160 	Vb: 1.05016 | -118.921	Vc: 1.05410 | 117.594
188	Va: 0.99429 | -2.160 	Vb: 1.05016 | -118.921	Vc: 1.05410 | 117.594
190	Va: 0.99427 | -2.160 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.594
191	Va: 0.99422 | -2.163 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.594
192	Va: 0.99421 | -2.164 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
193	Va: 0.99420 | -2.164 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
194	Va: 0.99420 | -2.164 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
196	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
198	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
199	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
200	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
201	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
202	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
203	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
204	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
205	Va: 0.99420 | -2.164 	Vb: 1.05017 | -118.921	Vc: 1.05408 | 117.590
206	Va: 0.99420 | -2.164 	Vb: 1.05017 | -118.921	Vc: 1.05408 | 117.590
207	Va: 0.99404 | -2.151 	Vb: 1.05018 | -118.922	Vc: 1.05436 | 117.591
208	Va: 0.99394 | -2.155 	Vb: 1.05019 | -118.923	Vc: 1.05453 | 117.592
209	Va: 0.99394 | -2.155 	Vb: 1.05019 | -118.923	Vc: 1.05453 | 117.592
210	Va: 0.99393 | -2.155 	Vb: 1.05004 | -118.936	Vc: 1.05454 | 117.593
211	Va: 0.99393 | -2.155 	Vb: 1.05004 | -118.936	Vc: 1.05454 | 117.593
212	Va: 0.99393 | -2.155 	Vb: 1.05004 | -118.936	Vc: 1.05454 | 117.593
213	Va: 0.99393 | -2.155 	Vb: 1.05004 | -118.936	Vc: 1.05454 | 117.593
215	Va: 0.99420 | -2.164 	Vb: 1.05017 | -118.921	Vc: 1.05408 | 117.590
217	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05412 | 117.595
219	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.594
220	Va: 0.99420 | -2.165 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.594
221	Va: 0.99420 | -2.164 	Vb: 1.05015 | -118.921	Vc: 1.05411 | 117.567
222	Va: 0.99420 | -2.164 	Vb: 1.05015 | -118.921	Vc: 1.05412 | 117.560
224	Va: 0.99420 | -2.164 	Vb: 1.05015 | -118.921	Vc: 1.05410 | 117.567
225	Va: 0.99420 | -2.164 	Vb: 1.05015 | -118.921	Vc: 1.05412 | 117.567
226	Va: 0.99420 | -2.164 	Vb: 1.05015 | -118.921	Vc: 1.05413 | 117.567
227	Va: 0.99420 | -2.164 	Vb: 1.05015 | -118.921	Vc: 1.05413 | 117.567
228	Va: 0.99420 | -2.164 	Vb: 1.05015 | -118.921	Vc: 1.05413 | 117.567
229	Va: 0.99420 | -2.164 	Vb: 1.05017 | -118.922	Vc: 1.05412 | 117.567
230	Va: 0.99420 | -2.164 	Vb: 1.05017 | -118.922	Vc: 1.05412 | 117.567
231	Va: 0.99420 | -2.164 	Vb: 1.05017 | -118.922	Vc: 1.05413 | 117.567
233	Va: 0.99420 | -2.164 	Vb: 1.05017 | -118.922	Vc: 1.05413 | 117.567
234	Va: 0.99421 | -2.164 	Vb: 1.05017 | -118.922	Vc: 1.05413 | 117.567
235	Va: 0.99421 | -2.164 	Vb: 1.05015 | -118.922	Vc: 1.05415 | 117.545
236	Va: 0.99421 | -2.163 	Vb: 1.05014 | -118.922	Vc: 1.05418 | 117.525
237	Va: 0.99421 | -2.163 	Vb: 1.05014 | -118.922	Vc: 1.05418 | 117.525
238	Va: 0.99421 | -2.162 	Vb: 1.05014 | -118.922	Vc: 1.05418 | 117.525
239	Va: 0.99421 | -2.163 	Vb: 1.05015 | -118.923	Vc: 1.05418 | 117.525
240	Va: 0.99421 | -2.163 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
241	Va: 0.99420 | -2.162 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
242	Va: 0.99420 | -2.162 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
243	Va: 0.99420 | -2.162 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
244	Va: 0.99420 | -2.162 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
245	Va: 0.99420 | -2.162 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
246	Va: 0.99420 | -2.162 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
247	Va: 0.99420 | -2.162 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
249	Va: 0.99420 | -2.162 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
251	Va: 0.99420 | -2.161 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
252	Va: 0.99420 | -2.161 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
253	Va: 0.99420 | -2.161 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
254	Va: 0.99420 | -2.161 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
255	Va: 0.99420 | -2.161 	Vb: 1.05016 | -118.923	Vc: 1.05417 | 117.525
258	Va: 0.99419 | -2.166 	Vb: 1.05021 | -118.920	Vc: 1.05403 | 117.633
259	Va: 0.99419 | -2.166 	Vb: 1.05021 | -118.920	Vc: 1.05403 | 117.633
260	Va: 0.99420 | -2.164 	Vb: 1.05018 | -118.921	Vc: 1.05408 | 117.595
261	Va: 0.99420 | -2.165 	Vb: 1.05019 | -118.920	Vc: 1.05402 | 117.607
262	Va: 0.99420 | -2.165 	Vb: 1.05019 | -118.920	Vc: 1.05402 | 117.607
263	Va: 0.99420 | -2.165 	Vb: 1.05020 | -118.922	Vc: 1.05409 | 117.608
265	Va: 0.99420 | -2.165 	Vb: 1.05020 | -118.922	Vc: 1.05409 | 117.608
267	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
269	Va: 0.99428 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
272	Va: 0.99428 | -2.161 	Vb: 1.05019 | -118.920	Vc: 1.05401 | 117.594
273	Va: 0.99446 | -2.177 	Vb: 1.05018 | -118.918	Vc: 1.05399 | 117.592
274	Va: 0.99446 | -2.177 	Vb: 1.05019 | -118.918	Vc: 1.05398 | 117.592
275	Va: 0.99445 | -2.177 	Vb: 1.05021 | -118.919	Vc: 1.05398 | 117.592
276	Va: 0.99445 | -2.177 	Vb: 1.05021 | -118.919	Vc: 1.05398 | 117.592
277	Va: 0.99445 | -2.177 	Vb: 1.05021 | -118.919	Vc: 1.05398 | 117.592
278	Va: 0.99446 | -2.177 	Vb: 1.05021 | -118.919	Vc: 1.05398 | 117.592
279	Va: 0.99446 | -2.177 	Vb: 1.05021 | -118.919	Vc: 1.05398 | 117.592
281	Va: 0.99445 | -2.177 	Vb: 1.05019 | -118.919	Vc: 1.05399 | 117.592
283	Va: 0.99445 | -2.177 	Vb: 1.05021 | -118.919	Vc: 1.05398 | 117.592
284	Va: 0.99445 | -2.178 	Vb: 1.05027 | -118.922	Vc: 1.05397 | 117.592
285	Va: 0.99445 | -2.178 	Vb: 1.05027 | -118.922	Vc: 1.05397 | 117.592
286	Va: 0.99445 | -2.178 	Vb: 1.05027 | -118.922	Vc: 1.05397 | 117.592
288	Va: 0.99445 | -2.178 	Vb: 1.05027 | -118.922	Vc: 1.05397 | 117.592
289	Va: 0.99445 | -2.178 	Vb: 1.05027 | -118.922	Vc: 1.05397 | 117.592
290	Va: 0.99447 | -2.178 	Vb: 1.05027 | -118.920	Vc: 1.05380 | 117.590
291	Va: 0.99444 | -2.184 	Vb: 1.05041 | -118.918	Vc: 1.05360 | 117.630
292	Va: 0.99444 | -2.184 	Vb: 1.05041 | -118.918	Vc: 1.05360 | 117.630
293	Va: 0.99447 | -2.174 	Vb: 1.05017 | -118.920	Vc: 1.05388 | 117.575
294	Va: 0.99447 | -2.174 	Vb: 1.05017 | -118.920	Vc: 1.05388 | 117.575
295	Va: 0.99447 | -2.174 	Vb: 1.05017 | -118.921	Vc: 1.05389 | 117.574
296	Va: 0.99447 | -2.174 	Vb: 1.05017 | -118.921	Vc: 1.05389 | 117.574
297	Va: 0.99447 | -2.174 	Vb: 1.05017 | -118.921	Vc: 1.05389 | 117.574
299	Va: 0.99447 | -2.174 	Vb: 1.05013 | -118.921	Vc: 1.05391 | 117.569
