index	Dz	rN	bHat	UI
155	0.0000000000	0.0000000000	0.0000000000	0.0000000000
156	0.0000000000	0.0000000000	0.0000000000	0.0000000000
157	-0.0001535420	0.0793445867	0.0793454916	0.0047758886
158	0.0002560769	0.2142150383	0.2142282717	0.0111155959
159	0.0006263977	0.3350164385	0.3350170009	0.0018323291
160	0.0000865652	0.0789196087	0.0789196092	0.0001108127
161	0.0000818547	0.0437497630	0.0437499638	0.0030296512
162	0.0000226694	0.0230297723	0.0230326490	0.0158062834
163	-0.0001839754	0.0844534068	0.0844536156	0.0022233769
164	-0.0001596620	0.0786995972	0.0786995972	0.0000018074
165	0.0003273129	0.1534047926	0.1534050107	0.0016862891
166	0.0001072990	0.0490528520	0.0490528520	0.0000000000
167	-0.0001142262	0.0665881746	0.0665881746	0.0000000000
168	0.0000000000	0.0000000000	0.0000000000	0.0000000000
169	0.0000000000	0.0000000000	0.0000000000	0.0000000000
170	-0.0001796388	0.0835163108	0.0835163286	0.0006537249
171	0.0000000000	0.0000000000	0.0000000000	0.0000000000
172	0.0000000000	0.0000000000	0.0000000000	0.0000000000
173	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
174	0.0000000000	0.0000000000	0.0000000000	0.0000000000
175	0.0000703685	0.0396801201	0.0396801201	0.0000000000
176	0.0001149796	0.1095329191	0.1095335403	0.0033679736
177	0.0000992703	0.1017566327	0.1017567104	0.0012363289
178	0.0019757278	0.8947582996	0.8947586313	0.0008610490
179	0.0000886732	0.0455536366	0.0455536442	0.0005760028
180	-0.0001359653	0.0729223406	0.0729224542	0.0017652085
181	0.0000000000	0.0000000000	0.0000000000	0.0000000000
182	0.0000000000	0.0000000000	0.0000000000	0.0000000000
183	-0.0001393212	0.0738421098	0.0738421382	0.0008773652
184	0.0000789409	0.0831440187	0.0831447027	0.0040562215
185	0.0000730636	0.0799957218	0.0799962161	0.0035154614
186	0.0000339105	0.0338754492	0.0338757733	0.0043749972
187	-0.0000352060	0.0371361425	0.0371363054	0.0029624436
188	0.0000000000	0.0000000000	0.0000000000	0.0000000000
189	0.0000000000	0.0000000000	0.0000000000	0.0000000000
190	0.0003181043	0.1671262915	0.1671267108	0.0022399933
191	-0.0000436686	0.0413826683	0.0413826726	0.0004511540
192	-0.0000339800	0.0365092380	0.0365092380	0.0000000000
193	-0.0001959298	0.0876653119	0.0876653119	0.0000000000
194	0.0007228821	0.2521599386	0.2521599386	0.0000000000
195	0.0002044496	0.0831773085	0.0831773085	0.0000000000
196	-0.0011355560	0.2110760309	0.2110760631	0.0005524625
197	0.0021087354	0.4307374214	0.4307374265	0.0001540125
198	0.0008378627	0.1683862017	0.1683862034	0.0001406122
199	-0.0002362641	0.0962719563	0.0962719570	0.0001206471
200	0.0028012240	0.4965425735	0.4965426700	0.0006232351
201	0.0001544961	0.0722982131	0.0722983040	0.0015860239
202	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
203	0.0000000000	0.0000000000	0.0000000000	0.0000000000
204	0.0001393023	0.0686701438	0.0686701438	0.0000000000
205	-0.0000387613	0.0390022587	0.0390024920	0.0034590247
206	0.0000000000	0.0000000000	0.0000000000	0.0000000000
207	0.0000000000	0.0000000000	0.0000000000	0.0000000000
208	0.0003670302	0.2060799893	0.2060800212	0.0005558121
209	0.0000000000	0.0000000000	0.0000000000	0.0000000000
210	0.0000000000	0.0000000000	0.0000000000	0.0000000000
211	0.0004452261	0.2294543443	0.2294543443	0.0000000000
212	0.0000000000	0.0000000000	0.0000000000	0.0000000000
213	0.0000000000	0.0000000000	0.0000000000	0.0000000000
214	0.0001247561	0.1222841464	0.1222842177	0.0010797846
215	0.0000000000	0.0000000000	0.0000000000	0.0000000000
216	0.0000000000	0.0000000000	0.0000000000	0.0000000000
217	0.0000000001	0.0000000000	0.0000000000	0.0000000000
218	0.0000402353	0.0448264437	0.0448273103	0.0062178434
219	0.0000000000	0.0000000000	0.0000000000	0.0000000000
220	0.0000486346	0.0480733128	0.0480822068	0.0192368225
221	0.0000281440	0.0365836161	0.0365909813	0.0200672683
222	0.0001520263	0.1418193760	0.1418216820	0.0057026732
223	0.0000000000	0.0000000000	0.0000000000	0.0000000000
224	0.0000000000	0.0000000000	0.0000000000	0.0000000000
225	0.0000000001	0.0000000000	0.0000000000	0.0000000000
226	0.0000000000	0.0000000000	0.0000000000	0.0000000000
227	0.0000905093	0.0503602011	0.0503602011	0.0000000000
228	0.0005518621	0.2706141852	0.2706146810	0.0019142598
229	0.0000000000	0.0000000000	0.0000000000	0.0000000000
230	0.0000000000	0.0000000000	0.0000000000	0.0000000000
231	0.0000000001	0.0000000000	0.0000000000	0.0000000000
232	0.0005718450	0.1563434968	0.1563434968	0.0000000000
233	0.0000000000	0.0000000000	0.0000000000	0.0000000000
234	0.0011361709	0.3886845338	0.3886845338	0.0000000000
235	0.0003183108	0.1169823265	0.1169823265	0.0000000000
236	0.0006190476	0.1308571984	0.1308572332	0.0007292961
237	0.0000000001	0.0000000000	0.0000000000	0.0000000000
238	0.0000000000	0.0000000000	0.0000000000	0.0000000000
239	0.0004538993	0.1119856773	0.1119856773	0.0000000000
240	-0.0000360696	0.0371513590	0.0371513794	0.0010479830
241	-0.0001706996	0.0808056673	0.0808056673	0.0000000000
242	-0.0000440411	0.0410392162	0.0410392162	0.0000000000
243	-0.0001593747	0.0780636822	0.0780636822	0.0000000000
244	-0.0002674383	0.1144256103	0.1144256169	0.0003387293
245	-0.0001526743	0.0865207457	0.0865207457	0.0000000000
